Date,sm0,sm1,sm2,sm3,sm6,sm7,sm10,sm11,sm14,sm15,sm18,sm19,sm23
5/18/2004,0.156056985,0.137999997,0.147659987,0.120136439,0.12697172,0.102891261,0.117620468,0.088807744,0.111604484,0.071717136,0.116069438,0.105122671,0.12834273
5/19/2004,0.192294568,0.118259206,0.179242104,0.159584165,0.18828018,0.140984595,0.149016961,0.135655895,0.151763648,0.130516008,0.106144853,0.121376038,0.089176834
5/20/2004,0.14778249,0.137999997,0.14174667,0.121554334,0.140335296,0.121598331,0.135910515,0.122351563,0.131346875,0.118781,0.130909083,0.134692997,0.128753765
5/21/2004,0.122118406,0.070931599,0.127629638,0.110359501,0.107523037,0.104464355,0.088984041,0.089914845,0.069462234,0.080318004,0.066759462,0.064738832,0.070467428
5/22/2004,0.159706796,0.12882559,0.15765008,0.141282694,0.14444436,0.139671051,0.138810773,0.136358025,0.132295037,0.128730834,0.127442428,0.128360758,0.123272729
5/23/2004,0.122118406,0.078940995,0.135833323,0.116172583,0.112490223,0.099314333,0.087907398,0.084190063,0.065985144,0.071717136,0.059808733,0.049115665,0.060742837
5/24/2004,0.158284987,0.133859525,0.161469599,0.142855219,0.146841488,0.137862899,0.143173603,0.141430994,0.141919163,0.139700638,0.140063189,0.138855015,0.132253522
5/25/2004,0.14778249,0.111599483,0.14174667,0.117329396,0.111910693,0.099644662,0.087035994,0.081488139,0.071891564,0.071717136,0.067684265,0.064738832,0.070695983
5/26/2004,0.159260019,0.133306529,0.161646974,0.143777271,0.144610689,0.142213353,0.143703621,0.143331894,0.142212763,0.140455478,0.139915732,0.138955363,0.128636477
5/27/2004,0.154241696,0.115713291,0.138023987,0.112501152,0.144489303,0.089419544,0.092401654,0.089363217,0.06513533,0.085694842,0.100192614,0.091462955,0.088604242
5/28/2004,0.113179624,0.066926897,0.125339285,0.10206625,0.101081675,0.097511838,0.085977469,0.081855287,0.072152813,0.071717136,0.067057688,0.064738832,0.068826875
5/29/2004,0.162235774,0.135556823,0.164384204,0.147533235,0.154662837,0.159392887,0.150069304,0.160396301,0.144997543,0.154883609,0.14282851,0.148337197,0.141263673
5/30/2004,0.159259021,0.103574581,0.139295086,0.122958024,0.150664732,0.121131666,0.104166284,0.109580159,0.081427321,0.096823677,0.064561218,0.071433589,0.073899418
5/31/2004,0.159541977,0.136713776,0.164724624,0.147144485,0.15678829,0.165567163,0.153005459,0.163603807,0.146952206,0.157347846,0.145482456,0.14933809,0.145677376
6/1/2004,0.176570445,0.11514011,0.171188235,0.150899082,0.183684409,0.128098875,0.143160388,0.138747305,0.130133763,0.109818488,0.108379737,0.092802733,0.110530294
6/2/2004,0.179244772,0.141593589,0.179554744,0.169403501,0.175074572,0.191179919,0.167660994,0.180322875,0.154953295,0.165767989,0.142983142,0.150718261,0.145199304
6/3/2004,0.169124007,0.137999997,0.162299991,0.143655551,0.143214763,0.133904031,0.136163865,0.124599485,0.132156228,0.118781,0.132871562,0.134692997,0.129434375
6/4/2004,0.194726557,0.130286321,0.180303603,0.165557653,0.207309544,0.158526227,0.161397383,0.165086329,0.16162467,0.157544345,0.128997222,0.157104105,0.122996166
6/5/2004,0.169124007,0.154391006,0.175720006,0.161827094,0.183843376,0.189117556,0.187344929,0.184810116,0.18042924,0.182551995,0.181590465,0.197715983,0.18234193
6/6/2004,0.139507994,0.089660518,0.162299991,0.145473278,0.142974975,0.157092755,0.137713211,0.155376565,0.125522438,0.182551995,0.118689227,0.126692504,0.125481367
6/7/2004,0.228310584,0.204355136,0.225449651,0.198891729,0.215124965,0.181140974,0.202258185,0.174410105,0.190509277,0.171188241,0.1787611,0.170027419,0.174987073
6/8/2004,0.156056985,0.122818999,0.175720006,0.153837386,0.142697436,0.140822767,0.121085407,0.127403172,0.109110388,0.118781,0.105657328,0.098338,0.110515349
6/9/2004,0.153790837,0.104761093,0.129545793,0.115646362,0.095617548,0.086068742,0.092714056,0.08873973,0.094668053,0.092933893,0.09899842,0.10307769,0.101422556
