Date,Average of pres0,Average of pres1,Average of pres2,Average of pres3,Average of pres4,Average of pres5,Average of pres6,Average of pres7,Average of pres8,Average of pres9,Average of pres10,Average of pres11,Average of pres12,Average of pres13,Average of pres14,Average of pres15,Average of pres16,Average of pres17,Average of pres18,Average of pres19,Average of pres20,Average of pres21,Average of pres22,Average of pres23,Average of pres24,Average of pres25,Average of pres26,Average of pres27,Average of pres28,Average of pres29,Average of pres30,Average of pres31,Average of pres32,Average of pres33,Average of pres34,Average of pres35
2/11/2004,101923.0309,101923.6066,101907.0316,101880.1832,101902.3586,101907.702,101890.4871,101847.9266,101889.3988,101900.343,101909.2395,101882.6789,101874.6789,101862.5191,101848.9188,101851.1266,101842.0715,101811.8309,101801.9109,101803.5113,101785.9105,101766.7746,101698.5828,101705.7184,101690.2637,101656.823,101644.823,101638.1344,101688.6949,101542.0391,101502.9031,101529.9109,101712.5031,101542.2637,101465.3027,101453.5906
2/12/2004,101848.5234,101851.1763,101835.9974,101808.0513,101837.5212,101844.7753,101821.9788,101770.6261,101822.497,101826.8251,101825.2098,101791.199,101807.1373,101783.1529,101754.9933,101751.4267,101769.5298,101731.3743,101710.253,101702.0856,101702.0863,101683.7693,101606.7865,101608.0975,101593.9866,101567.3806,101554.4885,101548.76,101589.3545,101446.4814,101409.9412,101443.8914,101612.9736,101443.8917,101369.2857,101364.3486
2/13/2004,102041.286,102045.0707,102028.7099,101998.2948,102030.3791,102037.697,102017.2177,101967.5757,102021.6695,102029.0985,102031.9925,101999.965,102012.1814,101993.1196,101969.8291,101967.4365,101974.5316,101939.2768,101922.0802,101918.713,101905.2731,101886.7126,101814.5601,101821.0988,101798.7266,101770.7615,101760.7717,101756.2079,101799.2007,101655.4222,101618.553,101649.3285,101826.9976,101657.5642,101582.1569,101571.2208
2/14/2004,101698.8242,101702.6645,101686.8867,101656.9688,101678.0242,101688.3918,101671.5281,101622.5688,101668.9047,101679.3359,101683.4324,101651.432,101663.5266,101645.1285,101620.8402,101617.5766,101624.6805,101590.4715,101572.5211,101569.3523,101548.1367,101535.2402,101463.9449,101471.8164,101435.2074,101416.6156,101409.7996,101407.0801,101439.1449,101301.7684,101268.0395,101300.5191,101473.0957,101304.9359,101230.984,101224.3281
2/15/2004,101411.5606,101404.3981,101384.131,101356.7946,101407.7511,101402.6912,101372.0019,101323.91,101404.154,101398.8523,101389.1596,101353.9293,101398.2716,101367.5231,101331.8348,101320.9851,101354.2336,101311.3858,101284.4435,101273.9896,101278.2571,101251.9263,101174.1205,101177.6243,101169.9446,101133.1603,101120.1771,101113.3501,101167.2623,101018.9967,100979.4081,101007.6585,101188.4446,101016.2835,100935.7954,100922.7824
2/16/2004,102179.0889,102172.2614,102150.2077,102116.3418,102191.7285,102186.2077,102153.0618,102096.4215,102187.1416,102183.2223,102178.6084,102140.1019,102172.5547,102147.0609,102120.9014,102114.3151,102134.5013,102094.5283,102074.2357,102067.1156,102069.8887,102045.8623,101967.3021,101969.6214,101965.9945,101933.3285,101919.3545,101911.0609,101969.9681,101820.0752,101780.3695,101808.9023,102000.1286,101824.9281,101744.4215,101730.1276
2/17/2004,102586.8496,102572.5036,102544.0234,102508.1302,102598.9557,102580.263,102537.3301,102484.3965,102601.6501,102585.0898,102567.3037,102528.6631,102595.3577,102557.1429,102516.8229,102502.3962,102554.2897,102505.1699,102472.236,102454.7165,102484.29,102452.529,102364.7962,102360.6364,102379.2233,102339.3835,102321.2236,102310.1569,102382.1829,102228.9834,102187.4368,102214.6901,102408.3968,102233.4629,102152.6631,102132.931
2/18/2004,102781.1102,102772.6938,102750.0359,102717.4289,102776.8535,102773.3336,102746.6773,102694.966,102778.4539,102780.7254,102781.2047,102744.1816,102776.8855,102755.6375,102731.1895,102722.6453,102742.3254,102700.8215,102681.2051,102676.5969,102675.5422,102644.7574,102568.0852,102574.1012,102573.2371,102530.5184,102516.5652,102506.4855,102577.9738,102420.7258,102377.173,102399.2211,102605.4922,102428.2141,102345.9742,102321.9738
2/19/2004,102531.132,102518.5021,102490.2401,102447.023,102537.1628,102529.5489,102493.6423,102426.6772,102534.0975,102528.3709,102520.6904,102473.2636,102524.4975,102495.0563,102463.023,102449.3816,102480.5053,102435.6723,102412.16,102405.1542,102404.5473,102374.0637,102295.8487,102301.9453,102293.389,102253.0695,102240.236,102231.8828,102294.6361,102138.375,102095.8997,102121.0954,102320.2023,102141.3051,102057.8018,102040.3877
2/20/2004,101870.7615,101869.5102,101850.643,101819.7011,101861.8302,101864.6678,101842.7405,101792.2082,101855.9575,101862.7758,101867.2283,101832.6681,101846.9147,101830.0526,101810.6287,101807.43,101817.8094,101786.9494,101768.8071,101759.9857,101763.715,101752.8067,101671.6104,101667.5751,101666.4344,101644.8971,101628.3964,101617.8224,101669.4684,101526.5523,101489.2388,101520.2364,101702.9704,101529.7531,101452.9246,101444.5774
